sample_index,elapsed_seconds,timestamp,raw_adc
109,32.938000,2026-09-08T10:51:25.816+08:00,2043
110,32.969000,2026-09-08T10:51:25.847+08:00,2042
111,32.985000,2026-09-08T10:51:25.863+08:00,2049
112,33.016000,2026-09-08T10:51:25.894+08:00,2045
113,33.047000,2026-09-08T10:51:25.925+08:00,2052
114,33.063000,2026-09-08T10:51:25.941+08:00,2046
115,33.094000,2026-09-08T10:51:25.972+08:00,2049
116,33.125000,2026-09-08T10:51:26.003+08:00,2047
117,33.141000,2026-09-08T10:51:26.019+08:00,2051
118,33.172000,2026-09-08T10:51:26.050+08:00,2045
119,33.203000,2026-09-08T10:51:26.081+08:00,2051
120,33.219000,2026-09-08T10:51:26.097+08:00,2047
121,33.250000,2026-09-08T10:51:26.128+08:00,2050
122,33.282000,2026-09-08T10:51:26.160+08:00,2045
123,33.297000,2026-09-08T10:51:26.175+08:00,2045
124,33.328000,2026-09-08T10:51:26.206+08:00,2045
125,33.360000,2026-09-08T10:51:26.238+08:00,2043
126,33.375000,2026-09-08T10:51:26.253+08:00,2044
127,33.407000,2026-09-08T10:51:26.285+08:00,2042
128,33.438000,2026-09-08T10:51:26.316+08:00,2041
129,33.453000,2026-09-08T10:51:26.331+08:00,2042
130,33.485000,2026-09-08T10:51:26.363+08:00,2046
131,33.516000,2026-09-08T10:51:26.394+08:00,2045
132,33.563000,2026-09-08T10:51:26.441+08:00,2044
133,33.594000,2026-09-08T10:51:26.472+08:00,2050
134,33.610000,2026-09-08T10:51:26.488+08:00,2048
135,33.641000,2026-09-08T10:51:26.519+08:00,2047
136,33.672000,2026-09-08T10:51:26.550+08:00,2055
137,33.688000,2026-09-08T10:51:26.566+08:00,2049
138,33.719000,2026-09-08T10:51:26.597+08:00,2048
139,33.750000,2026-09-08T10:51:26.628+08:00,2050
140,33.766000,2026-09-08T10:51:26.644+08:00,2048
141,33.797000,2026-09-08T10:51:26.675+08:00,2049
142,33.828000,2026-09-08T10:51:26.706+08:00,2041
143,33.844000,2026-09-08T10:51:26.722+08:00,2049
144,33.875000,2026-09-08T10:51:26.753+08:00,2043
145,33.922000,2026-09-08T10:51:26.800+08:00,2045
146,33.953000,2026-09-08T10:51:26.831+08:00,2047
147,33.969000,2026-09-08T10:51:26.847+08:00,2046
148,34.000000,2026-09-08T10:51:26.878+08:00,2049
149,34.032000,2026-09-08T10:51:26.910+08:00,2046
150,34.063000,2026-09-08T10:51:26.941+08:00,2056
151,34.078000,2026-09-08T10:51:26.956+08:00,2048
152,34.110000,2026-09-08T10:51:26.988+08:00,2050
153,34.125000,2026-09-08T10:51:27.003+08:00,2049
154,34.157000,2026-09-08T10:51:27.035+08:00,2052
155,34.188000,2026-09-08T10:51:27.066+08:00,2054
156,34.219000,2026-09-08T10:51:27.097+08:00,2054
157,34.235000,2026-09-08T10:51:27.113+08:00,2054
158,34.266000,2026-09-08T10:51:27.144+08:00,2053
159,34.297000,2026-09-08T10:51:27.175+08:00,2052
160,34.313000,2026-09-08T10:51:27.191+08:00,2052
161,34.344000,2026-09-08T10:51:27.222+08:00,2048
162,34.391000,2026-09-08T10:51:27.269+08:00,2042
163,34.422000,2026-09-08T10:51:27.300+08:00,2049
164,34.438000,2026-09-08T10:51:27.316+08:00,2042
165,34.469000,2026-09-08T10:51:27.347+08:00,2047
166,34.500000,2026-09-08T10:51:27.378+08:00,2045
167,34.516000,2026-09-08T10:51:27.394+08:00,2046
168,34.547000,2026-09-08T10:51:27.425+08:00,2048
169,34.594000,2026-09-08T10:51:27.472+08:00,2048
170,34.625000,2026-09-08T10:51:27.503+08:00,2044
171,34.657000,2026-09-08T10:51:27.535+08:00,2049
172,34.672000,2026-09-08T10:51:27.550+08:00,2047
173,34.703000,2026-09-08T10:51:27.581+08:00,2049
174,34.735000,2026-09-08T10:51:27.613+08:00,2045
175,34.750000,2026-09-08T10:51:27.628+08:00,2051
176,34.782000,2026-09-08T10:51:27.660+08:00,2045
177,34.813000,2026-09-08T10:51:27.691+08:00,2050
178,34.828000,2026-09-08T10:51:27.706+08:00,2041
